#CustomerId,Surname,CreditScore,Age,Tenure,NumOfProducts,HasCrCard,EstimatedSalary,Exited,Balance,Rank
15804771,Velazquez,614,51,4,1,1,46775,0,40686,35
15612350,Taylor,691,31,5,1,1,126214,1,40916,36
15734044,Black,671,31,7,1,0,102681,0,41299,37
15740345,Osborne,657,42,5,1,1,112980,1,41473,38
15569807,Ejimofor,673,34,8,1,1,20599,1,42157,39
15665008,Sidorov,805,26,8,2,1,28862,0,42713,40
15615254,Clark,555,40,10,1,1,170514,0,43029,41
15658449,Chizoba,695,45,9,1,0,77330,0,43135,42
15618647,Kornilova,744,29,1,1,1,119328,0,43504,43
15642816,De Salis,850,27,7,2,1,3025,0,43658,44
15582129,Hsia,517,62,1,3,1,187756,1,43773,45
15813412,Barlow,721,55,3,1,1,65864,1,44021,46
15767064,Davide,614,36,1,1,1,73329,0,44055,47
15635364,Gray,618,49,9,3,1,89729,1,44301,48
15569249,Howarth,576,55,6,3,0,67540,1,44582,49
15613713,Kozlova,644,30,5,1,1,10771,0,44929,50
15750839,Burns,649,29,2,1,1,173496,0,45022,51
15743007,Seabrook,643,45,4,1,1,60917,1,45144,52
15658946,Piccio,579,40,10,2,1,18733,0,45409,53
15603749,Galkina,564,53,2,1,1,41056,1,45472,54
15753110,McKay,720,64,3,2,1,79623,1,45753,55
15686743,Moody,790,29,3,2,1,189778,0,46058,56
15660147,Dore,493,32,8,1,1,79577,0,46161,57
15690620,Olisaemeka,665,39,10,1,1,136812,0,46324,58
15593778,Craig,779,29,3,3,1,127939,1,46388,59
15623566,Barnhill,714,40,9,1,1,96687,0,46521,60
15610383,Dumetolisa,628,46,1,4,1,31272,1,46870,61
15669783,Simpson,586,60,3,2,0,63241,1,47021,62
15719856,Lamb,646,45,3,1,1,57236,0,47135,63
15674328,Moreno,670,40,3,1,1,148579,1,47364,64
15680167,Thomson,635,78,6,1,1,119400,0,47536,65
15688157,Padovano,683,39,2,2,1,86019,0,47685,66
15658956,Tuan,505,40,6,2,1,155062,0,47870,67
15582154,Crawford,670,45,5,1,1,54340,0,47885,68
15746695,Wunder,429,39,6,1,1,74871,0,48024,69
15707974,Anayochukwu,815,38,2,1,1,184797,0,48387,70
15704987,Lu,649,52,8,1,1,41858,0,49114,71
15700654,Liardet,617,44,9,2,1,53294,0,49157,72
15812230,Elliot,670,42,5,3,1,100324,0,49509,73
15680920,Marchesi,695,46,7,1,1,133007,0,49513,74
15808175,Castiglione,557,39,7,1,1,115288,1,49573,75
15579526,O'Meara,551,42,1,1,1,23400,0,50195,76
15633897,Owen,725,39,1,2,1,184024,0,50881,77
15624820,Ross,683,56,7,3,0,97629,1,50911,78
15622518,Stephenson,768,26,5,1,1,70455,1,51116,79
15569654,Munro,850,31,3,1,0,35535,0,51293,80
15735263,Hsueh,736,27,5,1,0,192132,0,51523,81
15768449,Ricci,634,37,7,2,1,184313,0,51583,82
15611318,Kruglova,599,33,4,1,1,111623,1,51691,83
15801473,Moore,599,33,2,2,1,85046,0,51950,84
15761717,Ch'ien,720,26,10,2,1,45507,0,51963,85
15567725,Kodilinyechukwu,689,46,7,2,1,72994,0,52016,86
15743478,Johnson,659,39,8,2,1,107964,0,52106,87
15708650,Fullwood,727,31,2,2,0,160383,0,52192,88
15799217,Zetticci,791,35,7,1,1,161052,0,52436,89
15702462,Fiorentini,619,44,6,1,1,112649,1,52831,90
15775433,Tang,666,71,1,2,1,112223,0,53013,91
15664227,Threatt,506,28,8,1,0,24577,0,53054,92
15634143,Onyemauchechi,581,30,0,1,0,196582,0,53292,93
15644686,Kennedy,729,34,9,2,1,42856,0,53300,94
15813645,Hamilton,491,36,0,1,1,103934,0,53369,95
15566139,Ts'ui,526,37,5,1,1,62831,0,53573,96
15771383,Loggia,628,45,6,1,1,115023,0,53667,97
15578799,Anayolisa,625,58,10,1,1,192072,1,53773,98
15758836,Godfrey,675,36,3,2,0,54479,0,54098,99
15575759,Bentley,583,40,3,1,1,109639,1,54428,100
15584766,Knight,557,33,3,1,1,371,0,54504,101
15645103,Su,812,25,5,1,1,131660,0,54818,102
15607178,Welch,850,38,3,1,1,140076,0,54901,103
15647572,Greece,504,34,0,1,1,136910,0,54981,104
15802274,Waters,686,44,7,1,1,181757,0,55054,105
15798895,Okonkwo,525,59,6,1,1,83343,1,55328,106
15781678,Pisani,470,31,4,2,1,103793,0,55733,107
15668971,Nicholson,583,40,4,2,1,26920,0,55776,108
15779581,Bottrill,734,43,3,2,0,94812,1,55853,109
15702014,Jeffrey,555,33,1,2,0,178798,0,56085,110
15630709,Castiglione,619,31,2,2,0,2182,0,56116,111
15726931,Onwumelu,715,41,8,2,0,92983,1,56215,112
15621063,Gibbons,516,42,8,1,1,46858,0,56228,113
15613189,Browne,774,52,2,1,1,113266,1,56581,114
15694188,Obidimkpa,700,46,5,2,0,45424,0,56581,115
15684269,Gray,707,35,3,1,1,17987,1,56674,116
15635143,Fennescey,749,42,2,2,0,185543,0,56727,117
15751203,Cattaneo,702,26,5,2,1,100442,1,56738,118
15780140,Bellucci,435,32,2,2,1,5907,0,57017,119
15661974,Pirozzi,677,46,2,1,1,158531,0,57038,120
15585106,Calabresi,492,38,8,2,1,188975,0,57068,121
15804853,McVey,781,48,0,1,1,85644,1,57099,122
15626491,Hughes,655,45,7,1,0,47349,0,57327,123
15569892,Johnstone,516,35,10,1,1,101700,0,57370,124
15798605,Tien,686,26,1,1,1,79189,0,57423,125
15613102,Ogochukwu,670,31,2,1,1,181893,1,57530,126
15646594,Ali,749,41,5,1,1,61128,0,57569,127
15572360,Clark,683,30,10,1,0,79241,0,57657,128
15600110,Endrizzi,506,41,3,1,1,4035,0,57746,129
15801265,Tang,689,45,0,1,1,197804,1,57784,130
15565779,Kent,627,30,6,1,1,188258,0,57809,131
15611325,Wood,682,24,9,2,0,53134,0,57930,132
15791006,Kodilinyechukwu,760,34,6,1,1,90346,0,58003,133
15705313,Stange,707,33,2,1,1,83336,0,58036,134
15757140,Genovese,787,51,0,1,0,142538,0,58137,135
15759537,Bianchi,717,35,7,2,1,172459,0,58469,136
15747772,Cunningham,706,36,9,2,1,40774,0,58571,137
15677369,Golubov,554,37,4,1,0,182039,0,58630,138
15599433,Fanucci,660,35,8,1,0,198674,0,58641,139
15644724,Fan,472,31,4,2,0,73322,0,58663,140
15763980,Beneventi,632,30,1,1,1,78671,0,58668,141
15598846,Shahan,700,44,2,1,1,16875,0,58782,142
15761076,Lei,507,41,3,2,1,138536,0,58820,143
15791743,Corbett,727,32,1,1,1,46019,0,59272,144
15669290,Fan,603,38,8,1,1,191457,0,59361,145
15674811,Kellway,739,29,3,2,1,105534,0,59386,146
15592300,Mai,543,35,10,1,1,76774,0,59409,147
15584364,Trentini,652,48,4,1,1,163944,1,59486,148
15578648,Marino,543,49,6,1,1,104254,0,59532,149
15665634,Campbell,645,38,7,1,1,167723,0,59569,150
15597930,Wilson,646,52,8,1,0,172496,1,59669,151
15656300,Lucciano,411,29,0,2,1,53483,0,59697,152
15683339,P'eng,656,34,6,1,1,14033,1,59877,153
15673529,Lombardo,645,36,4,2,1,44000,0,59894,154
15717629,Docherty,632,42,6,2,0,148173,0,59972,155
15628863,Calabresi,601,38,4,1,1,38020,0,60014,156
15681439,Tsou,775,25,10,2,1,14073,0,60205,157
15766765,Obiuto,664,39,7,1,1,170835,0,60263,158
15729668,Elizabeth,521,29,3,1,1,154271,0,60281,159
15638621,Simmons,735,39,1,1,1,40224,0,60375,160
15674179,Vorobyova,513,34,7,1,0,124571,0,60515,161
15808228,Tuan,768,44,6,1,1,178046,0,60603,162
15616555,Fu,850,41,8,1,1,31826,0,60881,163
15664539,Bruce,683,35,9,1,0,82951,0,61172,164
15659105,Borchgrevink,669,47,9,1,1,58170,0,61197,165
15762882,Manna,577,31,4,1,1,145250,0,61211,166
15793424,Tan,663,28,8,2,1,136054,0,61275,167
15770554,Fraser,769,31,4,2,1,7118,0,61297,168
15635500,Seleznyov,605,75,2,1,0,186655,0,61320,169
15754577,Boni,556,51,8,1,1,198811,1,61354,170
15617136,Mazzanti,451,38,9,1,1,167539,0,61482,171
15612769,Carr,692,28,5,1,1,70180,0,61582,172
15762332,Ulyanova,568,31,1,2,1,61797,0,61592,173
15688193,Graham,468,36,3,1,0,107787,0,61637,174
15747288,Ferri,838,40,6,1,0,150659,1,61671,175
15764021,Frolov,617,34,1,2,1,105965,0,61687,176
15727408,Koo,523,27,8,2,1,147059,0,61689,177
15788367,Ellis,487,44,6,1,1,53088,0,61691,178
15679200,Crawford,580,29,9,2,1,128078,0,61710,179
15628999,Townsend,732,79,10,1,1,104223,0,61811,180
15697000,Mello,728,32,5,1,1,156125,0,61826,181
15613816,Mao,539,39,6,1,0,59755,0,62052,182
15647725,Napolitano,675,61,5,3,1,166305,1,62055,183
15684645,Ajuluchukwu,704,41,9,2,1,129051,0,62078,184
15768945,Chibueze,627,27,1,1,1,105887,0,62093,185
15720929,Kazantseva,604,47,8,3,0,9308,1,62095,186
15799358,Vincent,516,46,6,1,0,171682,1,62212,187
15813034,Martin,727,38,2,1,1,59281,0,62277,188
15656726,Ch'ien,771,32,5,1,1,40921,0,62322,189
15812918,Scott,432,27,6,2,0,53875,0,62340,190
15765300,L?,596,40,5,3,1,148623,1,62389,191
15630241,Tretyakova,594,61,3,1,1,192434,0,62391,192
15643916,Munro,619,46,8,1,1,132498,1,62400,193
15730448,Iroawuchi,538,25,5,1,1,102758,0,62483,194
15684999,Ch'eng,850,26,4,2,0,179365,0,62611,195
15646374,Wynne,766,28,3,2,1,13182,0,62718,196
15794273,Hand,604,56,0,1,0,124955,0,62733,197
15708505,Palerma,641,37,7,2,0,39016,0,62975,198
15574119,Okwuadigbo,598,64,1,1,1,152274,0,62980,199
15574795,Lombardo,495,38,2,1,1,47090,0,63093,200
15594917,Miller,676,34,1,1,1,40646,0,63095,201
15643630,Quaife,770,55,9,2,1,185211,1,63127,202
15606274,Lori,594,38,6,2,1,14466,0,63176,203
15652266,Chidiebele,703,42,9,1,0,137316,0,63227,204
15690452,Tung,605,52,1,1,1,108887,0,63350,205
15610355,Hunter,713,44,1,1,1,64375,0,63439,206
15811565,Cocci,705,47,3,1,0,28641,1,63489,207
15613656,Lombardi,842,58,1,1,1,83172,0,63493,208
15650026,Barclay-Harvey,513,44,1,2,0,52630,1,63562,209
15710689,Angel,578,40,6,1,0,74966,1,63610,210
15802381,Li,461,34,5,1,0,167784,0,63664,211
15702919,Collins,729,30,6,1,1,145111,0,63669,212
15605264,Walker,669,47,0,2,1,181928,0,63724,213
15753566,Espinosa,806,32,3,1,1,156593,0,63763,214
15632125,Blake,606,45,5,1,1,93708,0,63832,215
15713770,Shih,586,41,3,1,1,83754,0,63874,216
15752626,Genovese,553,32,7,1,0,109160,0,64082,217
15694272,Nkemakolam,673,30,1,1,1,77783,0,64098,218
15727299,Edgar,445,62,1,1,1,76570,1,64119,219
15758845,Rocher,590,37,0,1,0,61759,1,64345,220
15724764,Lawley,667,42,10,2,0,26022,0,64404,221
15565714,Cattaneo,601,47,1,2,0,96518,0,64430,222
15730044,Greco,809,42,6,3,0,182437,1,64498,223
15758116,Rossi,666,53,5,1,1,128019,1,64647,224
15733014,Nolan,813,62,10,2,0,140454,0,64668,225
15776223,Davide,597,42,4,1,1,106841,0,64740,226
15727198,Teng,689,28,2,2,0,78591,0,64808,227
15792722,Omeokachie,611,43,8,1,1,114996,0,64898,228
15791030,Edwards,612,33,0,2,1,102426,0,64900,229
15724563,Hawkins,752,42,3,2,0,140139,0,65046,230
15682890,Woronoff,745,38,5,2,1,140197,0,65095,231
15690743,Shao,536,61,8,1,1,64308,1,65190,232
15750141,Reichard,721,36,3,2,1,28738,0,65253,233
15664849,Colon,573,46,3,1,0,189989,1,65269,234
15643575,Evseev,757,36,1,1,0,64540,0,65350,235
15804131,Farmer,850,53,7,2,0,182634,1,65407,236
15682928,Chiazagomekpere,695,39,4,1,1,1244,0,65521,237
15739131,Whitworth,718,28,4,1,1,28761,0,65643,238
15634628,Brown,579,33,1,2,0,164609,0,65668,239
15616280,Hsia,536,46,1,1,1,61095,0,65733,240
15604345,Kemp,730,22,9,1,1,145792,0,65764,241
15697028,McClinton,590,34,0,2,0,160346,0,65812,242
15780954,Cran,582,26,4,2,1,30149,0,65848,243
15596181,Kwemto,542,38,8,1,1,68093,1,65942,244
15742210,Ugochukwu,700,38,9,1,1,100950,0,65963,245
15687658,Burgin,716,52,7,2,1,14608,1,65972,246
15704788,Krawczyk,812,49,8,2,0,91557,1,66079,247
15681402,Ngozichukwuka,763,61,1,1,1,143981,0,66102,248
15743709,Toomey,683,30,4,1,1,115187,0,66190,249
15567078,Kovaleva,789,27,8,1,1,79458,0,66202,250
15762455,Yeh,624,33,6,1,0,170819,0,66220,251
15801316,Ifeatu,523,61,8,1,1,21859,0,66251,252
15800031,Laura,681,43,3,1,1,18773,1,66339,253
15720649,Ferdinand,641,36,5,1,1,31107,0,66393,254
15782100,Holloway,544,22,3,1,0,110317,0,66483,255
15605872,Felix,707,73,6,1,1,62769,0,66573,256
15641934,Manna,749,46,9,1,1,78753,1,66583,257
15566380,Drury,586,33,10,2,1,140759,0,66949,258
15625675,Clements,569,36,1,1,1,154776,0,67088,259
15631189,Riggs,613,38,9,1,1,78567,1,67112,260
15773723,Duncan,588,22,9,1,1,163535,1,67178,261
15729362,Lombardi,745,36,8,1,1,130790,0,67226,262
15568506,Forbes,524,31,10,2,1,161811,0,67239,263
15600997,Demuth,747,32,5,2,0,77370,0,67495,264
15690647,Rogers,582,46,8,1,1,44506,1,67563,265
15782159,Ndubuagha,850,28,8,2,1,194245,0,67640,266
15654409,Unwin,665,34,5,1,1,29642,0,67817,267
15738181,Douglas,850,31,6,2,0,50130,1,67996,268
15694860,Uspensky,675,38,6,1,0,138777,1,68066,269
15628170,Brown,565,32,9,1,1,143288,0,68067,270
15673084,Galkin,645,38,1,1,0,166265,0,68080,271
15656330,Von Doussa,528,32,0,1,1,170309,0,68138,272
15662067,Summers,743,40,8,1,1,94877,0,68156,273
15667417,Tao,572,33,9,1,1,19998,0,68194,274
15802585,Pisani,634,41,8,1,1,6382,0,68214,275
15736327,Manna,567,46,1,2,1,109573,0,68239,276
15694098,Jackson,575,54,9,1,1,144391,0,68333,277
15636061,Pope,649,78,4,2,1,142567,0,68346,278
15625445,Parkin,572,36,8,2,0,50400,0,68348,279
15577178,Genovese,511,45,5,1,1,193160,1,68375,280
15702145,Edments,705,33,7,1,1,64873,0,68424,281
15815626,Oluchi,640,63,2,2,1,112503,1,68432,282
15599289,Yeh,724,37,10,1,1,157863,0,68599,283
15598086,Brown,624,45,3,1,1,168002,1,68640,284
15790658,Iqbal,621,42,8,1,1,74158,0,68684,285
15750299,Davison,746,24,10,1,0,47997,0,68782,286
15679961,Davidson,708,46,7,1,1,39704,0,68800,287
15751524,Chigozie,677,36,10,1,1,33075,0,68807,288
15575748,Conti,809,36,9,2,0,109135,0,68882,289
15684951,He,542,59,2,2,1,7905,1,68893,290
15585928,Hay,821,31,2,1,1,25445,0,68928,291
15814553,Ball,559,34,5,2,1,66879,0,69000,292
15763704,Docherty,692,43,2,2,0,164621,0,69014,293
15746737,Eames,565,59,9,1,1,170706,0,69130,294
15605835,Rice,743,37,8,2,0,105780,0,69144,295
15756299,Davis,741,64,2,1,1,59238,0,69311,296
15775590,Mackay,482,48,2,1,0,102641,1,69329,297
15588450,Chukwudi,633,60,8,1,1,10288,0,69365,298
15641490,Windsor,850,25,8,2,1,87834,0,69385,299
15609458,Vincent,797,30,10,1,1,74638,0,69413,300
15657317,Allan,789,32,7,1,1,107499,0,69424,301
15781129,Montgomery,687,38,8,2,1,66580,1,69434,302
15787222,Ch'in,676,28,1,2,1,128461,0,69459,303
15692443,Piccio,612,33,5,1,1,8974,1,69479,304
15632848,Ferrari,634,36,1,1,1,116238,0,69519,305
15603111,Muir,850,71,10,1,1,97893,1,69608,306
15568120,Lacross,681,37,7,1,1,72128,0,69610,307
15790448,Calabresi,473,35,6,1,1,143346,0,69617,308
15596647,Henderson,768,54,8,1,1,69381,0,69713,309
15720820,Sabbatini,462,24,9,2,0,64421,0,69881,310
15793070,Fiorentino,494,41,2,2,1,188426,1,69975,311
15811261,Alaniz,617,42,0,1,1,120831,0,70106,312
15742504,Azuka,593,36,2,2,1,80608,0,70181,313
15643679,Goliwe,784,28,2,2,1,179253,0,70234,314
15603550,Longo,588,37,7,2,1,139608,0,70259,315
15803365,Coffee,653,55,2,1,0,62348,0,70264,316
15723950,Kruglov,684,40,2,1,1,115469,1,70291,317
15658485,Heath,785,34,9,1,1,68600,0,70302,318
15585768,Cameron,582,41,6,2,0,178074,0,70349,319
15773852,Hayes,533,38,4,2,1,104189,0,70363,320
15778290,Lappin,799,70,8,1,1,36484,0,70417,321
15607753,Alexandrova,606,23,10,1,0,90896,0,70418,322
15732674,Fennell,443,36,6,2,0,56937,0,70438,323
15639549,Jen,718,33,4,1,0,88593,0,70541,324
15756920,Genovesi,576,63,9,1,0,78956,1,70655,325
15779423,K?,716,39,1,2,1,76476,0,70658,326
15579166,Munro,619,30,7,1,1,160949,0,70729,327
15608653,Davison,521,34,7,1,1,20244,1,70731,328
15591985,Stewart,708,51,8,1,1,92920,1,70754,329
15744200,Ni,587,36,1,1,1,30580,0,70784,330
15686219,Wan,611,38,4,2,1,2444,0,71019,331
15609977,Mundy,587,47,6,1,1,57962,0,71027,332
15584704,Chiazagomekpele,519,48,10,1,1,137959,0,71084,333
15599386,Black,627,28,5,1,1,130504,0,71097,334
15790336,Tokareva,664,36,6,2,1,122433,0,71143,335
15791842,Johnstone,478,32,6,1,1,110594,0,71187,336
15624397,Moore,627,43,8,1,0,127734,0,71240,337
15585595,Owens,774,28,1,2,0,68760,0,71264,338
15633181,Swinton,792,31,6,2,0,125913,0,71270,339
15775703,Lo,702,26,2,1,1,108747,1,71281,340
15751445,Chikwado,734,52,6,2,0,38984,0,71283,341
15576313,Wei,486,40,9,1,1,76192,0,71340,342
15568164,Istomin,850,34,4,2,1,154001,0,71380,343
15611315,Ts'ao,708,23,4,1,1,103698,0,71433,344
15788676,Riley,539,38,8,2,1,10074,0,71461,345
15741275,Yuan,623,57,7,2,1,84421,0,71482,346
15566156,Franklin,749,44,0,2,0,151084,0,71498,347
15676513,Burns,601,35,8,1,1,177384,0,71554,348
15725039,McIntyre,702,32,8,1,1,126082,0,71668,349
15643215,Jen,602,38,2,2,0,137112,0,71668,350
15709780,Azuka,667,37,9,2,1,67735,0,71787,351
15794360,Hao,592,70,5,2,1,105097,1,71817,352
15648272,Medvedeva,658,35,9,1,1,68142,0,71829,353
15656322,Sandover,571,33,3,1,1,26772,0,71843,354
15578738,Tuan,609,32,7,1,1,151925,0,71872,355
15789865,Nnaife,620,28,9,1,0,190208,0,71903,356
15650545,Tomlinson,849,69,7,1,1,139066,0,71996,357
15591248,Chukwumaobim,628,29,9,1,1,34857,0,71996,358
15745375,Nnanna,640,23,3,1,1,161333,0,72013,359
15682914,Bolton,850,34,2,1,1,115768,0,72080,360
15665283,Brookes,610,57,7,4,0,113229,1,72093,361
15631159,H?,705,41,4,2,1,142515,0,72253,362
15730735,Henning,713,38,9,2,1,26137,0,72287,363
15766017,Brookman,615,58,3,1,1,85687,1,72309,364
15752139,Salter,682,36,5,2,1,36896,0,72374,365
15753719,Rickards,547,30,9,1,1,77077,0,72392,366
15614847,Townsend,674,45,6,1,0,140042,0,72495,367
15718843,Maslova,769,41,1,1,1,25724,0,72510,368
15698816,Tuan,721,33,4,1,1,103931,0,72535,369
15681697,Rueda,508,31,8,1,1,129803,0,72541,370
15753462,Godson,632,30,2,2,0,182729,0,72549,371
15641007,Holden,614,38,4,1,1,76042,0,72594,372
15704657,Denman,601,39,3,1,1,41778,1,72648,373
15795737,McNaughtan,771,47,3,2,1,107874,0,72664,374
15661007,Thompson,660,33,0,1,0,181052,0,72783,375
15675888,Austin,550,33,9,1,1,103608,0,72788,376
15800251,Elder,583,26,10,2,1,96792,0,72836,377
15610090,Han,667,40,8,2,1,98932,0,72945,378
15736778,Adams,807,60,1,2,1,17355,0,72949,379
15794870,Sal,744,38,6,2,1,78771,0,73023,380
15707551,Hutcheon,568,30,8,2,1,27012,0,73054,381
15634591,Saunders,850,33,8,1,1,186281,0,73059,382
15598892,Bradshaw,828,30,4,2,0,161671,0,73070,383
15576760,Onodugoadiegbemma,673,36,5,2,0,196142,0,73088,384
15579994,Shaw,616,23,8,1,1,62733,0,73113,385
15807989,Wall,681,37,8,2,1,25293,0,73179,386
15667216,Chung,579,29,10,2,1,129209,0,73195,387
15806929,Ch'ien,751,36,5,1,1,89223,0,73195,388
15707968,Akobundu,545,36,8,2,1,89587,1,73211,389
15580953,Forbes,544,30,4,1,0,126797,0,73219,390
15620981,Wickham,684,48,3,1,0,21228,1,73309,391
15627637,Obioma,709,23,8,2,1,63446,0,73314,392
15591091,Goering,644,44,5,1,1,157167,1,73349,393
15733476,Gonzalez,543,30,6,1,1,176693,0,73481,394
15681476,Foveaux,520,39,1,1,0,109626,1,73493,395
15637774,Fraser,558,32,5,1,0,136301,0,73494,396
15719950,Sutherland,682,61,10,1,1,172141,0,73688,397
15587233,Donoghue,457,41,8,3,1,185750,1,73700,398
15613699,Schnaars,430,60,7,1,1,161938,1,73937,399
15697801,Sokolova,605,56,1,2,1,62200,1,74129,400
15765982,Chin,735,41,7,1,1,11783,1,74136,401
15643496,Randolph,730,34,5,2,1,96876,0,74197,402
15746035,Pagnotto,450,25,9,2,0,195463,0,74237,403
15770543,Lowe,679,37,7,1,1,194618,0,74260,404
15623107,Chukwumaobim,686,45,3,3,1,64907,1,74275,405
15749130,Dyer,621,27,1,1,1,52582,0,74298,406
15721433,Hixson,664,38,4,2,1,154396,0,74306,407
15659486,Yudina,586,34,9,1,1,15035,0,74310,408
15608760,Cox,656,30,4,1,1,22929,0,74323,409
15719276,T'ao,741,35,6,1,0,99596,0,74371,410
15778345,Stevens,749,33,1,1,1,20164,0,74386,411
15648367,Lo,600,29,6,2,1,96051,0,74430,412
15744240,Shen,688,46,0,1,0,6866,0,74458,413
15712608,Costa,787,42,2,2,0,44274,0,74484,414
15676895,Cattaneo,547,39,6,3,1,85747,1,74596,415
15678284,Pai,651,35,7,3,1,129451,1,74624,416
15625904,Wang,624,26,9,2,0,31231,0,74682,417
15628144,Soares,635,72,4,1,0,27448,0,74813,418
15758831,Thornton,754,39,3,1,0,34430,0,74896,419
15790809,Lo Duca,685,40,7,1,1,198694,0,74897,420
15646756,Murphy,682,33,8,1,1,32771,0,74964,421
15716619,Chiebuka,580,36,3,1,1,12100,0,74975,422
15683213,Bergamaschi,554,35,10,2,0,190155,0,74989,423
15624633,Kibby,702,45,9,1,1,171015,0,74990,424
15745326,Carandini,538,62,3,1,0,17682,1,75051,425
15777797,Kovalyova,689,38,5,1,1,8652,1,75075,426
15682355,Sabbatini,772,42,3,2,1,92889,1,75075,427
15634974,Seppelt,614,37,8,4,0,131767,1,75150,428
15586757,Anenechukwu,801,32,4,1,1,37899,0,75171,429
15630661,Vasilyev,614,25,10,1,1,58965,0,75212,430
15675518,Charlton,499,53,1,2,0,144849,1,75226,431
15715769,Hao,621,26,2,1,0,44220,0,75238,432
15654300,Mao,530,33,9,1,0,101695,0,75242,433
15591969,Kuo,497,27,9,1,1,164825,0,75263,434
15731267,Rizzo,797,37,4,1,1,85802,0,75264,435
15671345,Piccio,531,42,6,2,0,57034,0,75303,436
15631222,Cattaneo,485,39,2,1,1,70665,0,75340,437
15680278,Ts'ai,661,42,9,1,1,27608,1,75361,438
15712772,Onwubiko,757,28,3,1,1,199728,0,75381,439
15670668,Webb,658,29,5,2,0,54915,0,75396,440
15609011,Barry,480,47,8,1,1,25888,1,75408,441
15715297,Yuan,779,40,2,1,1,52894,0,75470,442
15815530,Chin,612,42,10,1,0,149683,0,75498,443
15771997,Bryant,791,31,10,1,1,22184,0,75499,444
15718673,Mirams,839,33,10,1,1,62674,0,75592,445
15749265,Carslaw,427,42,1,1,1,57098,0,75682,446
15654964,Piccio,608,48,7,1,1,125763,0,75802,447
15647091,Endrizzi,725,19,0,1,0,45614,0,75888,448
15806327,Cyril,800,40,3,2,1,132562,0,75893,449
15577806,Chiu,794,54,1,1,1,192155,0,75901,450
15750769,Padovano,725,35,7,1,1,150507,0,75916,451
15798470,Scannell,764,48,1,1,1,158324,1,75991,452
15569209,Amaechi,464,34,5,1,1,158669,0,76002,453
15668289,McWilliams,690,32,2,1,0,151823,0,76088,454
15800961,Ugorji,627,52,1,2,0,177238,0,76102,455
15593295,Greathouse,548,57,6,1,1,133538,0,76166,456
15808621,Mordvinova,659,36,2,2,1,149066,0,76190,457
15591822,Mackenzie,593,26,9,1,1,167565,0,76227,458
15726103,Tsou,689,55,1,1,1,42365,1,76297,459
15749345,Simpson,468,22,1,1,1,194783,0,76319,460
15790810,Han,844,41,10,1,1,141175,1,76320,461
15793842,Krichauff,700,34,2,1,1,128136,0,76323,462
15688251,Mamelu,767,43,1,2,1,77838,0,76409,463
15590228,Greenwalt,715,21,6,1,1,173512,0,76467,464
15665385,Gibney,657,44,6,1,1,79072,0,76495,465
15803685,Greco,673,77,10,2,0,59596,0,76511,466
15729599,Lorenzo,804,33,7,1,0,98453,0,76549,467
15656096,Cumbrae-Stewart,679,26,3,1,1,184800,0,76554,468
15754952,Su,602,48,7,2,0,127095,0,76595,469
15773779,Jacka,593,46,2,1,1,54454,0,76598,470
15723013,Sutherland,613,28,7,2,1,185483,0,76656,471
15583681,Layh,616,31,7,2,1,163809,0,76666,472
15677387,Folliero,749,33,10,1,0,30396,0,76692,473
